n,Cc,Uc,Tc,Wc,Hc,Mc,Type,Form,Cprice,Rint,Ucmax,Ucmin,Crate,Crate_peak
0,3.5,3.65,1,0.0184,0.065,0.049,0,1,2.02,6,4.2,2.5,2.8,5
1,3.35,3.6,1,0.018,0.065,0.0474,0,1,1.8,40,4.2,2.5,2,3
2,3.45,3.6,1,0.0183,0.065,0.0495,0,1,2,5,4.2,2.5,2.5,3
3,65.6,3.6,0.0115,0.125,0.325,0.964,0,0,30,1.1,4.2,2.5,0.5,3
4,60,3.6,0.015,0.114,0.31,0.887,0,0,31,1.1,4.2,2.5,1.18,3
5,4.2,3.6,1,0.02035,0.0703,0.063,0,1,2,20,4.2,2.6,3.5,4.7
6,62.5,3.7,0.029,0.103,0.148,0.975,0,0,29,0.7,4.2,2.7,0.2,3
7,113,3.7,0.033,0.22,0.105,1.825,0,0,79.1,0.5,4.35,2.8,1,4
8,50,3.7,0.027,0.148,0.092,0.85,0,0,35,0.8,4.2,2.8,2,3
9,230,3.2,0.054,0.174,0.207,4.1,1,0,101,0.3,3.65,2.5,1,2
10,280,3.2,0.072,0.1725,0.2,5.22,1,0,116.2,0.25,3.65,2.5,1,2
11,33,3.2,0.0143,0.1445,0.1545,0.625,1,0,12,1.5,3.65,2.5,0.5,2
12,100,3.2,0.0367,0.1305,0.2005,1.92,1,0,51,0.5,3.65,2.5,1,3
13,94,3.7,0.045,0.173,0.125,2.1,0,0,38,0.75,4.15,2.7,1.6,2
14,163,3.2,0.0366,0.174,0.2305,3.19,1,0,84,0.8,3.65,2.5,1,3
15,25,3.2,0.0082,0.141,0.241,0.535,1,0,9,1.2,3.65,2.5,0.5,3
16,4,3.2,1,0.026,0.0655,0.088,1,1,1.3,20,3.65,2.5,3,3
